vote_intention,age,sex,education,income,party_id,party_id_str,party_id_imp,ideology,feeling_democrat,feeling_republican,political_knowledge_intro,political_knowledge_catch1,political_knowledge_catch_feedback,political_knowledge_senate_term,political_knowledge_least_spending,political_knowledge_house_majority,political_knowledge_senate_majority,political_interest,follow_politics_media,understand_issues
1,35,1,5,21,2,6,5,4,15,15,1,1971,-1,0,0,1,1,2,2,1
2,54,1,5,21,2,7,5,3,15,100,1,1987,-1,1,1,1,1,1,1,1
2,67,0,3,1,2,7,1,6,0,100,1,1977,-1,1,1,1,0,1,1,2
2,46,1,3,18,2,6,4,5,40,60,1,1965,-1,0,0,0,0,3,3,2
1,34,0,2,1,1,1,1,4,100,0,2,1990,-1,1,0,1,0,2,2,2
1,77,0,3,1,1,1,4,3,85,30,1,1971,-1,0,1,0,0,2,2,2
2,43,1,3,6,2,6,5,5,10,60,1,1000,-1,1,0,1,1,3,2,2
2,60,1,3,21,2,7,3,6,0,80,1,1962,-1,1,1,1,1,1,2,1
2,39,1,4,17,2,7,1,6,0,80,1,1985,-1,0,0,1,1,1,1,1
2,80,1,1,10,2,6,3,6,15,85,1,1920,-1,1,0,1,1,2,2,2
2,49,1,4,15,3,5,5,5,15,40,1,1998,-1,1,0,1,1,1,2,1
1,37,1,5,20,3,5,5,5,40,60,1,1990,-1,0,0,1,1,3,3,2
2,80,0,3,7,3,5,1,5,40,85,1,1987,-1,1,0,1,0,2,2,2
1,72,0,2,17,1,1,2,4,100,0,1,2000,-1,1,0,1,1,2,2,2
2,51,1,2,1,2,7,2,7,0,100,1,1982,-1,1,0,1,1,4,3,3
1,70,1,4,15,3,3,3,4,70,15,1,1973,-1,1,1,1,1,2,2,2
1,72,1,5,13,3,3,3,2,75,15,1,2000,-1,1,0,1,1,2,2,2
2,67,1,3,20,2,7,5,7,0,70,1,1960,-1,1,0,1,1,1,1,1
2,36,0,5,14,3,4,2,5,30,30,1,1998,-1,1,1,1,1,1,2,2
2,58,1,5,17,3,5,5,5,0,85,1,1962,-1,1,0,1,1,2,2,1
2,64,1,3,14,2,6,5,5,0,60,1,1952,-1,0,0,1,1,2,2,2
1,36,0,5,20,1,1,5,1,90,0,1,1962,-1,0,1,1,1,1,1,1
2,54,0,5,22,3,5,3,5,30,70,1,1994,-1,0,1,1,1,2,3,2
1,28,1,5,17,1,2,5,3,40,10,1,2000,-1,1,1,1,1,2,2,2
2,70,1,5,9,3,5,4,7,0,70,1,1970,-1,1,1,1,1,1,1,1
2,28,0,1,1,2,6,4,3,40,60,1,1803,-1,1,0,1,0,4,3,5
1,30,0,5,17,3,3,4,4,40,30,1,1950,-1,0,1,1,1,2,2,3
1,37,1,3,10,1,1,2,1,70,15,1,1965,-1,1,0,1,1,1,1,1
2,45,0,2,16,2,7,3,6,30,85,1,1980,-1,0,1,1,1,2,3,2
1,68,1,4,19,1,1,5,2,68,0,1,1492,-1,1,0,1,1,1,2,2
2,41,0,2,13,2,6,3,4,0,70,2,1896,1,1,0,1,1,2,3,1
1,32,0,5,22,1,1,2,1,60,0,1,1967,-1,1,0,1,1,1,1,1
1,46,1,5,19,3,4,5,4,60,50,1,1963,-1,1,1,1,1,1,2,1
2,28,1,4,21,2,6,3,6,0,85,1,1965,-1,0,0,1,1,1,2,2
1,45,0,5,9,3,3,5,3,85,30,1,1985,-1,1,0,1,1,2,2,3
1,69,1,5,12,1,1,1,1,85,15,1,1950,-1,1,1,1,1,1,1,1
1,79,1,3,20,3,4,3,4,60,0,1,1980,-1,0,0,0,0,2,2,4
